Order_ID,Postal_Code,Longitude,Latitude
398,259864,103.8292278,1.3145
399,259913,103.8352715,1.3162
400,259914,103.8352303,1.3163
401,259963,103.8301523,1.309
402,266134,103.8032958,1.3227
403,266148,103.8038553,1.3226
404,266225,103.8028494,1.3159
405,266257,103.7928774,1.321
406,266275,103.7918039,1.3211
407,266278,103.791968,1.321
408,266286,103.7917276,1.3209
409,266293,103.7913439,1.3209
410,266365,103.8004637,1.3229
411,266466,103.8067385,1.319
412,266479,103.8043003,1.3171
413,266576,103.7983611,1.3296
414,266622,103.8118777,1.3221
415,266757,103.8086078,1.3201
416,266781,103.8097483,1.3214
417,266862,103.7894338,1.3187
418,266865,103.7895944,1.3182
419,266930,103.8077647,1.3232
420,266949,103.8069661,1.322
421,266983,103.808736,1.3226
422,267016,103.7920169,1.316
423,267045,103.7930207,1.3148
424,267055,103.7917457,1.3151
425,267177,103.7974977,1.3235
426,267341,103.7970317,1.3248
427,267348,103.7960438,1.3245
428,267379,103.7944936,1.3248
429,267452,103.7956583,1.324
430,267621,103.798154,1.3268
431,267680,103.7946826,1.3253
432,267753,103.8098281,1.3218
433,268127,103.8077364,1.3194
434,268131,103.8073889,1.3191
435,268146,103.8056642,1.3172
436,268242,103.7965045,1.3226
437,268245,103.7966915,1.3226
438,268256,103.7974739,1.3225
439,268573,103.7937907,1.3234
440,268749,103.7998986,1.3279
441,268823,103.803155,1.3135
442,268850,103.8074441,1.3158
443,268987,103.8080584,1.3242
444,269022,103.8059775,1.3219
445,269145,103.8024413,1.3236
446,269177,103.8000148,1.3244
447,269321,103.7969496,1.3216
448,269471,103.8050549,1.3219
449,269503,103.8042646,1.3232
450,269524,103.8028061,1.323
451,269561,103.8056737,1.322
452,269579,103.8054614,1.3228
453,269602,103.8054029,1.3234
454,269606,103.8048695,1.3235
455,269714,103.8094015,1.3243
456,269716,103.8093579,1.3244
457,269734,103.8032904,1.3264
